,Clade,total.spp,total.pd,total.spp,edge.spp,perc.edge.spp,med.edge.loss,perc.edge.loss,group,evo.loss.per.spp,perc.thr
1,angiosperms,335497,1445339,335497,9945,2.96,307027,21.2,plants,0.915140821,42.4
2,gymnosperms,,12631,1083,282,26.04,1821,14.4,plants,1.681440443,39.9
3,Turtles,351,6520,351,96,27.35,1701,26,vertebrates,4.846153846,68
4,Crocodilians,25,613,25,7,28,125,20.6,vertebrates,5,50
5,Amphibs,8024,142670,8024,926,11.54,24578,17.4,vertebrates,3.063060818,40.7
6,Lepidosaurs,10735,134253,10735,621,5.78,20147,15,vertebrates,1.876758267,19.5
7,Sharks,1290,41297,1290,75,5.81,6116,14.7,vertebrates,4.741085271,37.2
8,Fish,32760,329935,32760,978,2.99,39370,11.9,vertebrates,1.201770452,16.3
9,Mammals,6253,37068,6253,643,10.28,3725,10,vertebrates,0.595714057,26.5
10,Birds,10988,89747,10988,696,6.33,6103,6.8,vertebrates,0.555424099,11.9
